id,Nombre,Posicion,Edad,PJ Sel,Club,year,Seleccion
293,thiago silva,DEF,29,46,paris saint-germain,2014,BRA
293,thiago silva,DEF,33,71,paris saint-germain,2018,BRA
294,tite,DT,,,,2018,BRA
295,victor,POR,31,6,atletico mineiro,2014,BRA
296,willian,CEN,25,7,chelsea,2014,BRA
296,willian,MED,29,57,chelsea,2018,BRA
297,achille emana,DEL,28,34,real betis,2010,CAM
298,alexandre song,CEN,22,23,arsenal fc,2010,CAM
298,alexandre song,CEN,,,barcelona,2014,CAM
299,allam nyom,DEF,,,granada,2014,CAM
300,aurelien chedjou,DEF,24,9,lille osc,2010,CAM
300,aurelien chedjou,DEF,,,galatasaray,2014,CAM
301,benjamin moukandjo,DEL,,,nancy,2014,CAM
302,benoit assou-ekotto,DEF,26,8,tottenham hotspur,2010,CAM
302,benoit assou-ekotto,DEF,,,queens park rangers,2014,CAM
303,carlos idriss kameni,POR,26,55,rcd español,2010,CAM
304,cedric djeugoue,DEF,,,coton sport,2014,CAM
305,charles itandje,POR,,,konyaspor,2014,CAM
306,dany nounkeu,DEF,,,beşiktaş,2014,CAM
307,edgar salli,CEN,,,lens,2014,CAM
308,eric maxim choupo-moting,DEL,21,1,nuremberg,2010,CAM
308,eric maxim choupo-moting,DEL,,,maguncia 05,2014,CAM
309,eyong enoh,CEN,24,12,ajax amsterdam,2010,CAM
309,eyong enoh,CEN,,,antalyaspor,2014,CAM
310,fabrice olinga,DEL,,,zulte waregem,2014,CAM
311,gaetan bong,DEF,22,1,valenciennes fc,2010,CAM
312,georges mandjeck,CEN,21,6,kaiserslautern,2010,CAM
313,geremi njitap,DEF,31,114,ankaragucu,2010,CAM
314,guy n'dy assembe,POR,24,1,valenciennes fc,2010,CAM
315,henri bedimo,DEF,,,olympique de lyon,2014,CAM
316,jean ii makoun,CEN,27,50,olympique de lyon,2010,CAM
316,jean ii makoun,CEN,,,stade rennes,2014,CAM
317,joel matip,CEN,18,3,fc schalke 04,2010,CAM
317,joel matip,CEN,,,schalke 04,2014,CAM
318,landry n'guemo,CEN,24,7,as nancy,2010,CAM
318,landry n'guemo,CEN,,,girondins de bordeaux,2014,CAM
319,loic feudjou,POR,,,coton sport,2014,CAM
320,mohammadou idrissou,DEL,30,30,freiburgo,2010,CAM
321,nicolas n'koulou,DEF,20,16,as monaco,2010,CAM
321,nicolas n'koulou,DEF,,,olympique de marsella,2014,CAM
322,paul le guen,DT,,,,2010,CAM
323,pierre webo,DEL,28,41,real mallorca,2010,CAM
323,pierre webo,DEL,,,fenerbahçe,2014,CAM
324,rigobert song,DEF,33,136,trabzonspor,2010,CAM
325,sammy n'djock,POR,,,fethiyespor,2014,CAM
326,samuel eto'o,DEL,29,92,inter de milan,2010,CAM
326,samuel eto'o,DEL,,,chelsea,2014,CAM
327,sebastien bassong,DEF,23,6,tottenham hotspur,2010,CAM
328,souleymanou hamidou,POR,36,21,kayserispor,2010,CAM
329,stephane mbia,DEF,24,30,olympique de marsella,2010,CAM
329,stephane mbia,CEN,,,sevilla,2014,CAM
330,vincent aboubakar,DEL,18,1,coton sport,2010,CAM
330,vincent aboubakar,DEL,,,lorient,2014,CAM
331,volker finke,DT,,,,2014,CAM
332,alexis sanchez,DEL,21,29,udinese,2010,CHI
